,Title,Genre,Rating,Description,Director,Votes,Gross,Weather,Season
10512,Deadlock,"Short, Action",5.1,"Deep in a snow-laden forest stands a desolate tower. Within it, a folder lies hidden. John and his two friends have set out on a mission to obtain this folder, but when they get their hands...                See full summary »",Elias Lehtinen,18,0,Snow,Winter
10513,Honest Love and True,"Animation, Short",7.2,"Betty Boop is a poor-but-honest-actress in the Gay 90s who, hungry and cold, gets a job as a singer in a dance-hall saloon. The villainous owner makes unwanted advances, annoys and slaps ...                See full summary »",Dave Fleischer,59,0,Snow,Winter
10514,New Year's Adventure,"Animation, Short, Comedy",8.8,"The cartoon tells about the friendship of three friends: the mischievous, curious and inquisitive dog Busia; serious, but very charming dog Chester; and about the simpleton dog Gray. The ...                See full summary »",Nikita Fedin,6,0,Snow,Winter
10515,Snow Shark,"Short, Horror",2.8,"While investigating a missing person, town folk encounter the legendary snow shark.",Sam Qualiana,7,0,Snow,Winter
10516,Flicka utan namn,"Crime, Drama",5.9,"A girl has been found murdered in her apartment. But who killed her and why? Through a series of flashbacks, the police investigation unfolds this murder mystery.",Torgny Wickman,56,0,Snow,Winter
10517,Making of Oorlogswinter,Documentary,6.5,"A behind the scenes look at the production of Martin Koolhoven's film, Oorlogswinter.",Thijs Schreuder,9,0,Snow,Winter
10518,Fresh Starts 4 Stale People,"Adventure, Comedy",7.3,"Unemployed college graduates Zach and Rob find themselves adrift in the wake of their education's real-world uselessness, looking for immediate gratifications wherever possible. When a ...                See full summary »",Robert Malone,8,0,Snow,Winter
10519,Die Hard 2: Breaking the Ice,Short,7.6,"This short concentrates on the snowmobile sequence. It shows some small interview clips with cast, crew and stunt coordinator Charlie Picerni and shots from the set.",Al Di Sarro,14,0,Snow,Winter
10520,Moskau 1941 - Stimmen am Abgrund,"Documentary, History, War",7.5,"The ""Battle for Moscow"" began 80 years ago in October. The Wehrmacht tried to take Moscow. The film tells the story of a fateful year - Moscow 1941, when the survival of the Soviet capital ...                See full summary »",Artem Demenok,14,0,Snow,Winter
10521,Ski ala Carte,"Documentary, Sport",7.4,"Pack a lunch and come along as skiers like Karen Huntoon, John Reveal, Phil and Steve Mahre, along with many others ski around the world in places like Canada, Colorado, Greece, and Chamonix France.",Warren Miller,14,0,Snow,Winter
10522,An der Tür,"Short, Drama",6.7,"A man comes to pick up his son at his ex wife's house, just like every weekend. As always, he waits at the entrance of her apartment building for his son to come down stairs. But this ...                See full summary »",Miriam Bliese,22,0,Snow,Winter
10523,Mundaun,Horror,7.3,"After learning of his grandfathers mysterious death in a fire, the protagonist travels to Mundaun for the first time since childhood. He will soon discover that something old and diabolical...                See full summary »",Michel Ziegler,21,0,Snow,Winter
10524,A través de las ruinas,"Documentary, Short",7.3,"A house in the snow, sequences that look like buried memories peeking out from a warm subconscious.",Claudio Caldini,28,0,Snow,Winter
10525,Kniga Tundry. Povest' o Vukvukaye - malen'kom kamne,"Documentary, Adventure, Drama",7.4,72 years have passed as deer herder Vukvukai lives in the depths of Chukotka. He is an old man full of energy and wisdom - the 'real man of the tundra' whose life can not be seen apart from...                See full summary »,Aleksei Vakhrushev,32,0,Snow,Winter
10526,À cheval dans une maison vide,Short,7.2,"During a trip, Alain, director of an open center, and Majid, a young delinquent, will see their lives permanently changed.",Frédéric Carpentier,6,0,Snow,Winter
10527,Vaeltajat,"Documentary, Short",6.4,"When two former top orienteers end up in a snowstorm in Lapland wilderness, they face an impossible orienteering task: how to reach your destination when you can't tell earth from sky?",Otto Heikola,18,0,Snow,Winter
10528,Bolnye nervy,"Drama, Sport",5.6,Add a Plot,Noi Galkin,16,0,Snow,Winter
10529,Bones & Boats,"Animation, Short",5.0,The indomitable and sometimes destructive power of the natural world.,Kevin Langdale,6,0,Snow,Winter
10530,Muskusveise tagasitulek,Documentary,7.8,Add a Plot,Vasili Sarana,12,0,Snow,Winter
10531,'Sno Fun,"Animation, Short, Comedy",4.8,"Heckle and Jeckle of the Northwest Unmounted Police pursue the dreaded outlaw, Powerful Pierre.",Eddie Donnelly,27,0,Snow,Winter
10532,Dødelig spøk,Crime,6.8,"Rynndal accuses Morvik of having planned to kill him and pull up a pistol. It was a joke. A stranger arrives, telling that has got lost on his snowmobile. Morvik claims that the man actually is a murderer. Rynndal dismisses it as a joke.",Kent Nilssen,5,0,Snow,Winter
10533,"I Love You, Dad","Short, Comedy, Drama",7.7,A phone call between father and son snowballs into something more.,Eric Normington,7,0,Snow,Winter
10534,In the Snow,"Short, Horror",6.2,Two girls flee from a mysterious force that stalks them through a snowy forest. But it turns out to be something no one could have expected.,Jace Daniel,5,0,Snow,Winter
10535,Matsugae o musubi,"Animation, Short",7.1,A young girl weaves her way through time in remembrance of her twin sister. A snow globe and the Rabbit-man help her along the way.,Tomoyasu Murata,96,0,Snow,Winter
10536,Operation Cold Feet,"Family, Animation, Short",6.3,"A sentry is posted to guard the food supply at a South Pole expedition location, but Chilly Willy the penguin is hungry and has his eyes on the canned sardines and other sea-food choices at...                See full summary »",Alex Lovy,50,0,Snow,Winter
10537,Ninì,"Documentary, Biography, Sport",7.7,"Italian Alps, 1930s: a young woman portrays alpines adventures with her 16mm camera. She falls in love with the mountains but also with a brave climber.",Gian Luigi Giustiniani,6,0,Snow,Winter
10538,Pop,"Short, Drama",6.9,A boy and his father go rabbit hunting in the snow.,Tobias Andersson,12,0,Snow,Winter
10539,God Is No Soprano,"Comedy, Short, Mystery",8.0,Four mountain-climbers with different spiritual backgrounds meet coincidently on top of a mountain in Italy. Then a bizarre woman appears...,Thure Riefenstein,10,0,Snow,Winter
10540,Bagudajo no tozoku,"Animation, Short",6.1,Add a Plot,Noburô Ôfuji,44,0,Snow,Winter
10541,Sexlingar,Comedy,5.4,An editor at the local newspaper gets the idea to spread the rumor that a woman has given birth to sextuplets at a nearby hospital.,Hugo Bolander,33,0,Snow,Winter
10542,Ti ki an gennithika ftohos,"Drama, Romance",5.4,"The poor daughter of a once-famous musician sees her world turn upside down when she gets fired, and her beau, the son of a wealthy industrialist, finds himself without a place to live. Will his cruel father realise his grave mistake?",Giorgos Petridis,18,0,Snow,Winter
10543,Die heimlichen Wunden,"Short, Drama",6.4,Add a Plot,Christian Witte,9,0,Snow,Winter
10544,The Boy in the Yellow Snowsuit,"Short, Comedy",4.6,A young boy is given a snowsuit to protect him from the cold mountain winters but refuses to wear it to stave off the beatings from the local children so he gets a bad cold and fever and Strange things start to happen to him.,Christopher Heary,5,0,Snow,Winter
10545,The Mandalorian: Chapter 5½ - The Prophet,"Short, Action, Adventure",8.8,"After being ambushed on a mysterious snowy planet, The Mandalorian awakens to find The Child missing--with a trail leading to an isolated refinery.",Joe Teddick,10,0,Snow,Winter
10546,Chicken Kiev,"Short, Animation",6.6,"Without the mother in sight, a newborn chick starts staggering around, searching for food and warmth.",Thomas Stellmach,56,0,Snow,Winter
10547,Me & My New Brain,Documentary,6.6,"Charlie Elmore, a female snow board instructor, got her brain damaged after a snowboard accident in 2011. Here she tells the story of her dramatic recovery and long term effects of the accident, and her new brain.",Graeme McAulay,7,0,Snow,Winter
10548,Kun elohopea laskee,"Documentary, Short",6.4,Add a Plot,Heikki Aho,8,0,Snow,Winter
10549,Mekvle,"Documentary, Short",7.9,"Voices from the past echo through the deserted, snow-covered stone houses in a village in the Caucasus Mountains.",Goderdzi Chokheli,8,0,Snow,Winter
10550,Lenin vivo,"Documentary, Short",6.6,Add a Plot,Joaquim Jordà,16,0,Snow,Winter
10551,Perkele,"Comedy, Short",7.6,'Perkele' is a finely tuned comedy about Finnish men. All the three episodes of the film take place in the countryside of wintry Finland. It's a place filled with snow and silent people trying to endure the winter.,Arto Tuohimaa,74,0,Snow,Winter
10552,Lill-raggarn,"Animation, Short",7.8,It is snowing and little Ted is on his way to school. A couple of boys see him and decide bully him.,Melker Sundén,10,0,Snow,Winter
10553,M.A. Numminen Turns Rabbit - The Universal Declaration of the Rights of the Rabbits,"Short, Music",6.1,Add a Plot,Claes Olsson,75,0,Snow,Winter
10554,Kärlek och störtlopp,Comedy,5.6,Sixten reluctantly go to a ski resort in Åre to write a script to a movie.,Rolf Husberg,65,0,Snow,Winter
10555,Bobby Bumps' Disappearing Gun,"Animation, Comedy, Short",4.7,"Bobby and Fido, hidden behind a snow bank, have a contraption that folds down and expands upwards. It is gradually revealed to be a snow ball gun. It is replete with a scope that Fido looks...                See full summary »",Earl Hurd,22,0,Snow,Winter
10556,B,"Short, Drama",6.2,A roadie for a Swedish afro band meets a mysterious woman at a concert venue.,Toni Kamula,6,0,Snow,Winter
10557,Snow Blind,Documentary,8.0,This film is about the spirit of the mountains and the ultimate culture behind the people that ride them.,Christopher J. Scott,38,0,Snow,Winter
10558,Super Samurai Ninja Cowboy Assassin Squad,"Short, Action, Comedy",10.0,"Beni was stolen from Alphi by Rui, Alphi took him back. Rui is enraged with Alphi and now he has come for revenge.",Tom Wright,5,0,Snow,Winter
10559,Reality Check,Short,7.3,Add a Plot,Lea Schmidbauer,18,0,Snow,Winter
10560,Karl för sin hatt,Comedy,5.2,A young woman on ski vacation meets a rugged lumberjack; hilarity ensues when he comes to Stockholm to visit her.,Schamyl Bauman,33,0,Snow,Winter
10561,Timoshkina yolka,"Animation, Short",6.6,"The young boy sends away out of the house his little dog on the New Year's Eve so it gets lost in the woods during the snowstorm, but New Year's miracle happens.",Vladimir Degtyaryov,14,0,Snow,Winter
10562,The Boy Scout,"Short, Adventure, Drama",3.0,"Grant and Leah's car gets stuck in an early season snowstorm, during an impromptu trip to the mountains. After six days of captivity, they must answer the question: should we stay, or should we go?",Patrick Brooks,6,0,Snow,Winter
10563,Fernando's First Snow,Short,5.1,Fernando remembers his sister and the first time he saw snow.,Jared Katsiane,7,0,Snow,Winter
10564,Ski Movie 2: High Society,"Documentary, Sport",8.7,Add a Plot,Mike Douglas,28,0,Snow,Winter
10565,Dei svarte hestane,Drama,6.2,"The farmer Ambros has four shiny black horses which means more to him than his wife, since she isn't in love with him the way he is with her. She can't forget her old lover. And one day he is back, something that has grave consequences.",Hans Jacob Nilsen,13,0,Snow,Winter
10566,Salt Lake Diversions,"Documentary, Short",6.2,"About an hour's drive from Salt Lake City, Utah is the ski resort of Alta, a former mining town, nestled within the Wasatch Mountains. Skiing and other winter alpine pursuits take place ...                See full summary »",James A. FitzPatrick,54,0,Snow,Winter
10567,Kirigami zaiku Saiyuki: Songoku monogatari,"Animation, Short",5.0,The Monkey King goes goes out in search of the Sacred Text.,Noburô Ôfuji,25,0,Snow,Winter
10568,På liv och död,Drama,5.3,A train accident in northern Sweden is possibly a sabotage.,Rolf Husberg,48,0,Snow,Winter
10569,Nastaran-Ha-Ye Vahshi,"Drama, Family",6.0,In the snowy mountain a school teacher is worry about his class and students that will not be held. So he is forced to go after the students but in the way something happens to himself.,Rahbar Ghanbari,11,0,Snow,Winter
10570,Battaglia di neve,"Documentary, Short",4.4,"Early short of a snowball fight in the streets of Lyon, France",Italo Pacchioni,25,0,Snow,Winter
10571,Debut,"Short, Drama",4.9,Add a Plot,Dalibor Matanic,15,0,Snow,Winter
10572,Souvenir,Short,7.0,"A shadowy fable unfolds from inside a souvenir snow globe, in this unique film shot entirely with a toy camera.",Stephen Rose,8,0,Snow,Winter
10573,Bird Becomes Bird,"Animation, Short",7.0,"In a snowy landscape, a little girl chases after a beautiful bird she sees striding over the ice. She would like to be free like this to escape the strictures and security of her mother. But birds can fly away if the ice cracks. Little girls have to tread more carefully.",Lucy Lee,20,0,Snow,Winter
10574,Pharmakon,"Short, Comedy",6.2,"Like every winter, the boys get together for a weekend sprinkled with snow and psychotropic drugs. A necessary tradition to abandon oneself, to marvel and to trust the unknown.",Jean-Martin Gagnon,12,0,Snow,Winter
10575,Samek,"Drama, War",6.5,"Dramatic story of the Sarajevo photographer Matthew Samek during World War II. Samek experiencing historical events in his characteristic way. He did not like the king, but neither the ...                See full summary »",Milan Bilbija,8,0,Snow,Winter
10576,Tourvall the Terrible,"Short, Action, Comedy",6.8,Three young adults search out the story of one of the greatest matches ever held.,Sean A. Skinner,8,0,Snow,Winter
10577,D no shokutaku 2,"Action, Adventure, Horror",8.1,"Left stranded in a vast snowy landscape after a meteor strikes her airplane, Laura finds herself in a cabin with a mysterious woman named Kimberly. Outside, horrifying creatures roam the area as the two are left to fend for themselves.",Kenji Eno,66,0,Snow,Winter
10578,Snipers Alley,"Drama, Short, War",6.0,Add a Plot,Rudolf Schweiger,30,0,Snow,Winter
10579,Pulchritudinous,"Short, Drama",7.2,"Set on a beautiful snowy backdrop of northern England, a man asses his guilt after murdering a childhood friend.",Lucas Higham,8,0,Snow,Winter
10580,Uncle Bob's Hospital Visit,"Animation, Short",7.2,A elderly man is taken to the hospital after suffering a heart attack.,JoDee Samuelson,21,0,Snow,Winter
10581,Kiemas,Drama,5.9,"The first feature of Lithuanian Valdas Navasaitis is a drama which unravels the hopeless 1970s, when people were deprived of their roots and forced to sit and watch their lives slip from their fingers.",Valdas Navasaitis,80,0,Snow,Winter
10582,My Daddy the Astronaut,"Animation, Short",7.1,Add a Plot,Shamus Culhane,11,0,Snow,Winter
10583,Solitaire,"Short, Comedy, Thriller",6.8,"A woman has secluded herself in her palatial estate from any human interaction. When she hires a handyman in the hopes of relieving her lack of companionship, things quickly snowballs when he attempts to leave the estate.",Wayland Bell,6,0,Snow,Winter
10584,Gelato Go Home,"Animation, Short, Comedy",6.3,"As the first snow flake settles on cold concrete, the ice cream vans begin to contemplate the harsh winter ahead. For, like the caribou and the grey goose, the season marks the start of a long voyage in search of sunnier climes.",Alasdair Brotherston,9,0,Snow,Winter
10585,Beskrylyy gusyonok,"Animation, Short, Fantasy",6.6,Based on the Chukchi folk tale about the spirit of Kutkh.,Oksana Cherkasova,27,0,Snow,Winter
10586,Keinolumikylä,"Documentary, Drama",5.9,"A group of Chinese sculptors arrive to build an exotic experience park in the middle of Finnish Lapland. Among them Huang Sheng a young Chinese student, who brings with him his dreams. ...                See full summary »",Ilkka Rautio,9,0,Snow,Winter
10587,The Seventh Shadow,"Short, Action, Adventure",6.3,1949: When a scientist discovers his worst fears have come true - that horrifying elder beings from another dimension are using cults on Earth to facilitate their enslavement of humanity - ...                See full summary »,Brian Clement,14,0,Snow,Winter
10588,Kamakura,"Animation, Short, Fantasy",5.7,"A snow hut in the middle of the rice paddy. Now, let's see what to do, in the space full of whiteness and quietness, until the Spring comes. Until the snow hut melted, and lose shape.",Yoriko Mizushiri,19,0,Snow,Winter
10589,A Ghastly Tale,"Short, Horror, Mystery",5.3,"On a snowy winter night, Elizabeth and Henry's ward, Rebbecca, returns after a year's absence but things are not as they seem. A Gothic ghost story.",Paul Awad,8,0,Snow,Winter
10590,Cats in a Bag,"Animation, Short",4.3,"During Christmas, Puddy the Pup finds a bag of kittens abandoned in the snow.",Mannie Davis,20,0,Snow,Winter
10591,Lindsey Stirling: Carol of the Bells,Music,6.7,"Official music video for ""Carol of the Bells"" by Lindsey Stirling.",Stephen Wayne Mallett,7,0,Snow,Winter
10592,Weiberregiment,Comedy,6.5,"In Bavaria's snowy mountains, a battle of the sexes develops over the Rosl family brewery which a conniving relative sets up for staffing entirely by women.The moral is, as with reproduction, society needs both genders to get the job done.",Karl Ritter,10,0,Snow,Winter
10593,Johnny in the Attic,"Short, Horror",6.4,"After receiving ominous notes, a woman believes that an inter-dimensional being who haunted her brother and her when they were younger has come back.",Kyle Martellacci,28,0,Snow,Winter
10594,Syberyjska lekcja,Documentary,7.6,Add a Plot,Wojciech Staron,56,0,Snow,Winter
10595,Final Fantasy Mystic Quest,"Adventure, Fantasy",6.5,A young boy named Benjamin is on a quest to reclaim a set of stolen crystals that determine the state of the world's four elemental powers.,Kouze Ide,185,0,Snow,Winter
10596,Ins Holz,"Documentary, Short",6.0,"'in the woods' shows a respectful treatment of the woods and gives a atmospheric insight into the work in the forest, wood cutting and log rafting; a unique tradition which has survived ...                See full summary »",Thomas Horat,11,0,Snow,Winter
10597,Little White Lie,"Short, Drama",5.4,"It's February; Elizabeth is keeping a diary. She and her husband Paul are adopting Tommy, a child of one, and she asks Amber, Tommy's precocious older sister - who's five or six - to come ...                See full summary »",Paul Burnford,54,0,Snow,Winter
10598,What Worth Are 50 UAH on Khreshchatyk?,"Short, Comedy, Horror",4.0,"Hidden conspiracy unfolds when a secret object on Khreshchatyk street in Kyiv, Ukraine is accidentally filmed by a tourist.",Mykola Yeriomin,30,0,Snow,Winter
10599,Bunker,"Short, Drama",7.0,A soldier is isolated in the mountains and stands guard over a bunker. The heavy feeling of loneliness is gong to affect him in a dramatic way.,Nicolas Veuthey,7,0,Snow,Winter
10600,Les enfants partent à l'aube,"Short, Drama",5.0,"In the early morning fog, on a snowy road, a shock on the hood of Macha's car: this is Mo, her 17-year-old son, with whom she broke all ties. Through mountains, the son takes his mother for...                See full summary »",Manon Coubia,20,0,Snow,Winter
10601,We Are the Fallen,Short,7.7,Earth after the war. The never-ending post-nuclear winter lingers - dust clouds raised by bomb explosions obscure the sun. The surface temperature of the Earth and the atmosphere is reduced...                See full summary »,Piotr Dismas Zdanowicz,11,0,Snow,Winter
10602,Hearth and Home,"Animation, Short",7.2,Young Ava wanders lost in a snowy forest when a mouse helps to magically transport her to a strange tavern. A host of fantastical characters join in a raucous song that helps Ava overcome her fears to become a part of this magical world.,Jeramiah Johnson,14,0,Snow,Winter
10603,Brother,"Short, Action, Horror",9.6,"In the forest, a brother hunts his own sister, who is not ready to share her inheritance.",Sergey A.,22,0,Snow,Winter
10604,Gogona da tovlis gunda,"Animation, Short, Musical",8.4,"A snowman forms in the mountains and immediately finds himself with nothing to do. After trying to keep himself busy, he quickly befriends a human girl he finds nearby on the ground below.",Givi Kasradze,52,0,Snow,Winter
10605,Dimanches,Short,7.1,"Sundays or how Mankind faces the passage of time. That free time we are trying to fill at all costs. That same time we look at passing by, with laughter or boredom.",Valéry Rosier,51,0,Snow,Winter
10606,Med 'Maud' over Polhavet,Documentary,5.0,"Documenting the Roald Amundsen expedition trip with his ship Maud 1922-1925, to reach the ole and going back.",Roald Amundsen,9,0,Snow,Winter
10607,Corey's Room,"Short, Comedy",5.3,A group of college friends discuss random topics on a snow day.,Michael Stoller,14,0,Snow,Winter
10608,Mur,"Short, Drama",6.7,"One winter evening, on a snowy weather, a woman is going to her job. The surroundings are hostile, the labor-backbreaking. And a window doesn't close anymore : it snows inside the work space. The chore place becomes a land of adventures...",Andra Tevy,12,0,Snow,Winter
10609,It's Snow,"Short, Animation",6.0,"Colorful snowflakes appear, set to a calypso beat.",Gayle Thomas,8,0,Snow,Winter
10610,Su tutte le vette è pace,"Documentary, War",8.0,Add a Plot,Yervant Gianikian,36,0,Snow,Winter
10611,Khlib i sil,"Drama, Romance",7.8,"A group of peasant farmers in turn-of-the-century Ukraine leaves home in search of better luck in Siberia. The story follows those who stay behind and their dispute with the landowner, as ...                See full summary »",Grigoriy Kokhan,24,0,Snow,Winter
10612,Les sentiers battus,"Short, Comedy, Drama",7.2,"Maxime, a cerebral blogger, is back in his hometown for the holidays. His father Jacques, a retired thrill seeker who's more the manual type, seizes the opportunity to get closer to his son. His proposal : a father-son snowmobile ride.",Guillaume Harvey,17,0,Snow,Winter
10613,Roald Amundsen,"Documentary, Biography",7.4,A documentary about Roald Amundsen and his life.,Reidar Lunde,6,0,Snow,Winter
10614,The Ski's the Limit,"Animation, Short, Music",6.9,"A combination cartoon/travelogue set in the Swiss Alps, with a tuneful sight-seeing tour of Switzerland thrown in, before the bounding-ball comes bouncing along and asks the theatre ...                See full summary »",Izzy Sparber,41,0,Snow,Winter
10615,"Als der Bruder meiner Mutter geboren wurde, duftete es nach wilden Birnenblüten vor dem braungebrannten Sims","Short, Music",4.8,"Framed by blissful snowy mountains and clear blue sky, a woman is giving birth in an embedded video insert. The footage includes the cutting with scissors of the mother's vagina, as well as the newborn's first appearance.",Pipilotti Rist,13,0,Snow,Winter
10616,Snö,"Short, Drama, Mystery",6.8,"A young woman follows clues through snow-covered Uppsala, Sweden, in a desperate search for her missing boyfriend, a Swedish military officer, after being confronted by military police with news of his disappearance.",Kevin Shahinian,12,0,Snow,Winter
10617,La neige a fondu sur la Manicouagan,Drama,6.6,"Une jeune femme rêve du Mexique au milieu des ouvriers de la Manicouagan. Mariée à un diplômé de l'École polytechnique qui travaille au célèbre barrage, elle échoue dans sa tentative de le ...                See full summary »",Arthur Lamothe,13,0,Snow,Winter
10618,The Christmas Party,"Drama, Short",6.6,Grandparents take their lonely grandson to a Christmas party hosted by a Christian couple who expose him to the gospel. How will his grandparents react?,Jeremiah Kipp,5,0,Snow,Winter
10619,Another Dark Xmas,"Short, Adventure, Drama",3.8,Shawn spends Xmas day disposing of a dead body and marches across the land to receive a present.,Shawn Elestren,10,0,Snow,Winter
10620,Frontier,"Short, Adventure, Drama",6.0,"After two days alone in the woods, a young girl's reality begins to blend with her favorite comic book.",Chuck Kleven,12,0,Snow,Winter
10621,Honey and Babe in Christmasland,"Short, Comedy, Fantasy",9.5,"Oh Christmas tree, Oh Christmas tree. Christmas time this year will bring Honey and Babe exactly what they paid for.",Tantri Wija,10,0,Snow,Winter
10622,La fée printemps,Short,6.1,"A couple invites an old lady at home, after having seen her outside under the snow. The lady turns into a fairy and cast a spell to transform the winter season by spring.",Segundo de Chomón,165,0,Snow,Winter
10623,La neige cache l'ombre des figuiers,"Short, Drama",7.1,"Framed in poetic realism, this tells the story of a handful of immigrants experiencing the first snowfall of the season, and like a love story, the ending holds limitless possibilities.",Samer Najari,9,0,Snow,Winter
10624,Merry Fucking Xmas: The Curse of Aunt Flo,"Short, Comedy",7.4,The group gets together on Christmas Eve so that Opie can go over his new pyramid scheme. When someone drops a bloody tampon on the new fallen Christmas snow Opie is possessed by the ghost of Aunt Flo.,A.J. Ager,28,0,Snow,Winter
10625,Sous la neige,Short,6.8,"In a city covered by snow, the young Paul lives alone with his mother since his father left. Not far away, lives an old man of foreign origin with whom Paul has a strange relationship.",Aurélien Héraud,6,0,Snow,Winter
10626,Sur les traces de la panthère des neiges,Documentary,7.4,"Two brothers, naturalist photographers Frédéric Larrey and Olivier Larrey, brave the extreme conditions of the Tibetan highlands to obtain the most beautiful pictures of the snow leopard, an endangered feline.",Stéphane Jacques,12,0,Snow,Winter
10627,Se upp i backen,Comedy,6.4,Short comedy about a man trying to learn how to ski.,Inge Meixner,22,0,Snow,Winter
10628,Snovi,"Short, Drama, Romance",7.9,"Suddenly a moment from the past, a shard of memory can surge, overwhelming the senses. Crystal snowflakes land precariously on pale birch trees, civilians shudder from the cold, soldiers in heavy jackets give orders.",Reshad Kulenovic,10,0,Snow,Winter
10629,Then Came the Yawn,"Comedy, Short",4.4,"Parody trailers are a dime-a-dozen now but they were a real novelty when this short from Educational Pictures (""The spice of the program!"") appeared in movie houses. Its satire of ""coming ...                See full summary »",Joseph Henabery,11,0,Snow,Winter
10630,Beaver Trouble,"Animation, Short",5.0,"Two beavers, working harder than beavers, are cutting down trees in order to build a dam when they notice cords of wood piled next to a dog-house. They start hauling it off, as a ...                See full summary »",Connie Rasinski,8,0,Snow,Winter
10631,Snow Carnival,"Documentary, Short",6.2,"A documentary about the snowy attractions of mid-twentieth century Aspen, Colorado.",Gary Cooper,28,0,Snow,Winter
10632,Snowflake Bentley,"Short, Biography",3.8,"Ever since Willie Bentley was a young boy, he was fascinated with snowflakes. He looked at them under a microscope and studied their icy crystals. He even drew pictures of them, finding no two snowflakes exactly alike.",Sarah Kerruish,5,0,Snow,Winter
10633,Havlandet,Drama,5.4,"Famine and poverty is their every day life in the 1860s on the farm. One day their uncle from the north and tells wonderful things about their lives up there, making young Heiki go to see the Northern lights.",Lasse Glomm,25,0,Snow,Winter
10634,The Snow Field,"Short, Drama, History",7.4,An American sergeant escapes a bloody massacre by German troops and flees into the fierce winter landscape. Wounded and seeking shelter he comes across a woman praying in a small barn. She ...                See full summary »,Peter Coston,14,0,Snow,Winter
10635,The World's Most Beautiful Eggs: The Genius of Carl Faberge,"Documentary, Biography",7.5,"Otherwise known as ""The Genius of Carl Faberge"". Exploring the extraordinary life and work of Carl Faberge.",Spike Geilinger,21,0,Snow,Winter
10636,Dedushka i vnuchek,"Animation, Short, Family",6.3,Friends wake up a bear cub in winter to go to the skating rink together. Sports achievement inspiration cartoon.,Aleksandr Vasilyevich Ivanov,29,0,Snow,Winter
10637,Silly Seals,"Animation, Short, Comedy",5.7,"In a North Pole classroom, Professor Seal is teaching th young seals all about fishing. One little seal would rather practice snowball-juggling and plays hookey, and gets into trouble with ...                See full summary »",Les Kline,10,0,Snow,Winter
10638,Flocons et carottes,"Animation, Short, Family",6.9,A little girl steals all the carrots she can find on snowmen.,Samantha Leriche-Gionet,29,0,Snow,Winter
10639,Der Mann mit dem weissen Bart,"Short, Comedy",3.7,Add a Plot,Rüdiger Heinze,14,0,Snow,Winter
10640,Canadian Can-Can,"Animation, Short",5.8,"Inspector Clouseau is posted with the Canadian Mounted Police to study their crime investigation system and is assigned to apprehend a villain named Two-Faced Harry, who actually has two ...                See full summary »",Gerry Chiniquy,86,0,Snow,Winter
10641,Osterspaziergang,Short,7.3,Add a Plot,Patrick Müller,13,0,Snow,Winter
10642,The Empty Room Club,"Short, Comedy, Drama",7.1,"A dark comedy about three girls, who after being snowed open up about they're recent struggles with school, work and depression. Too bad they don't care what the other has to say.",Zia Marashi,12,0,Snow,Winter
10643,Vid skogens rand,"Short, Drama, Fantasy",5.8,"Shots are fired at a woman as she runs through the forest. At the same time, two brothers turn on to a forest road. Their paths will soon cross in a suspenseful film with supernatural elements - where nobody is what they seem to be.",Mikael Drake,12,0,Snow,Winter
10644,Early Amateur Sound Film,"Short, Documentary",5.3,"A montage of some home movies taken by Archie Stewart (1902-1998), an early enthusiast in taken 16 mm sound films of his family. We see his daughters, Mary and Anne, playing in the ...                See full summary »",Archie Stewart,67,0,Snow,Winter
10645,På hau i havet,Documentary,4.2,"A fresh and colorful meet with the local revue on the island Magerøya in Finnmark county in North-Norway. We get to know all the local people in the revue - old, young, women and men - and hear their own stories.",Knut Erik Jensen,25,0,Snow,Winter
10646,Jumping with Toy,"Animation, Short, Comedy",5.8,"A hungry fox disguises himself as Santa Claus, and arms himself with deadly gifts, hoping to make a duck dinner out of Baby Huey.",Dave Tendlar,32,0,Snow,Winter
10647,Dunder,"Animation, Short",6.0,"Bulder's snowball fight with his best friend Modika was interrupted when Lex steals her attention away with some quiet playtime. Frustrated, Bulder attempts to win her back, resulting in a mischievous plan that he may well come to regret.",Endre Skandfer,8,0,Snow,Winter
10648,Ein Schneemann für Afrika,"Comedy, Fantasy",6.3,The captain of an East German merchantman takes a snowman to Africa as a present to his friends there. While underway the snowman comes alive - much to the amusement of the crew.,Rolf Losansky,27,0,Snow,Winter
10649,A Girl Who's Afraid of Touching People,"Animation, Short",6.9,"You may not be able to see the girl, but you know she is afraid of touching people. Now she is going on a journey to overcome her fear, running across the snow, hiding in an apartment and reaching the seashore.",Liang-Hsin Huang,7,0,Snow,Winter
10650,Maly Cousteau,"Animation, Short, Adventure",6.8,Undersea adventure in snowy city. A short cartoon film as a homage to Jacques Cousteau.,Jakub Kouril,9,0,Snow,Winter
10651,Wende im Eis - Die Geschichte der letzten DDR-Antarktisforscher,"Documentary, History",7.6,"In 1989, thirteen GDR scientists and technicians set off from East Berlin to the Georg Forster research station in the Antarctic. During their expedition the Berlin Wall fell on November ...                See full summary »",Anna Schmidt,9,0,Snow,Winter
10652,Knights for a Day,"Animation, Short",5.0,"Meany, Miny and Moe, the three monkeys, start out to sing Christmas carols, but wind up doing a good deed for Widow Duck and her family. The stockings were empty at the Duck house so they ...                See full summary »",Walter Lantz,8,0,Snow,Winter
