,Title,Genre,Rating,Description,Director,Votes,Gross,Weather
10759,Possessions,"Crime, Drama, Thriller",5.9,"Bruno and Maryline move into a small town of the French Apls, chasing their dream for a better life. But their primary enthusiasm becomes disappointment, anger and jealousy.",Eric Guirado,388,,Snow
10760,Dangerous Dan McFoo,"Family, Animation, Short",6.5,"An arctic saloon. The tiny dog, Dan McFoo, is playing a pinball-like marble game in the back. His girlfriend, Sue, sounding like Katharine Hepburn, stands by. A stranger comes in with eyes ...                See full summary »",Tex Avery,339,,Snow
10761,La glace et le ciel,"Documentary, Adventure, Biography",6.9,A documentary about global warming.,Luc Jacquet,574,,Snow
10762,Snow White and the Seven Thugs,"Short, Comedy, Music",7.3,"""Snow White and the Seven Dwarfs"" set in the 'hood with a modern twist.",Kimberly Cole,63,,Snow
10763,Ping-pongkingen,Drama,6.3,"Rille, an ostracized and bullied teenager, who only excels in the ping pong room, descends into a life-and-death struggle with his younger, more popular brother when the truth about their father surfaces during their spring break.",Jens Jonsson,1232,,Snow
10764,Shadow Creature,"Comedy, Horror",3.8,"Detective Brighton investigates a series of unusually gruesome murders and is soon caught in a web of intrigue involving a mad scientist, a beautiful woman, a power mad politician, and one ...                See full summary »",James P. Gribbins,126,,Snow
10765,Den vita lejoninnan,"Crime, Mystery, Thriller",5.7,"In a world where international terrorism knows no national borders, Wallander and his South African colleagues must prevent a crime that would change the face of history.",Per Berglund,618,,Snow
10766,Snowflake,"Short, Drama, Romance",6.8,"Aurore is dying and Claire is at her side, waiting for the inevitable end to come. But Aurore has a final gift for her: a diary where she tells the story of their love. With the snowflakes ...                See full summary »",Francesco Roder,31,,Snow
10767,Love On The Cards,"Short, Romance",,"On the way to a job interview, heavy snowfall forces Tess to seek cover. She heads to the nearest place available - a Tarot and Tea shop, totally unaware that what is revealed in the cards for her future is just the beginning.",Nathan Hannawin,,,Snow
10768,La Liste: Everything or Nothing,"Documentary, Adventure, Sport",6.5,"Follows free-skiers Heitz and Anthamatten as they travel to the world's high-altitude mountain ranges and attempt to make their distinct mark on those giant peaks, exploring the absolute limit of human possibility.",Eric Crosland,23,,Snow
10769,Groundhog,"Comedy, Horror",6.7,"Witness a man, Logan Tanner. Who years ago, lost everything he holds dear, during the dawn of a long winter. Now, watch as the cracks begin to show. Until he reaches his breaking point. On ...                See full summary »",Dave Maggot,41,$0.00M,Snow
10770,Animaland,"Animation, Family",7.4,"A journey in the world of animals through nine episodes telling us the adventures of Ginger the squirrel and other characters: a brave cat, a fool ostrich, an assertive cuckoo, an evil weasel and an awkward lion.",Bert Felstead,42,,Snow
10771,Valley of Eagles,"Adventure, Drama",5.6,"A Norwegian scientist builds a device that can convert sound waves into electrical energy. However, the machine is stolen by the scientist's wife and assistant, who head across the frozen ...                See full summary »",Terence Young,240,,Snow
10772,Homolka a tobolka,Comedy,6.9,The husband and wife Ludva and Hedus Homolkas with their twins Péta and Máta and Ludva's parents - the granny and grandpa - arrive in the snowy Spindleruv Mlýn for a holiday. They promise ...                See full summary »,Jaroslav Papousek,339,,Snow
10773,Blueberry Hall,"Comedy, Crime, Drama",,"Ian's golden ticket to Harvard Law School is winning the Debate National Championship but when funding falls through, he and his friends deal prescription drugs as they snowball into a world of crime.",Kesh Tyagi,,,Snow
10774,Zulu Summer,Documentary,7.9,"After receiving a suspicious e-mail from an African prince, a radio DJ in small-town Montana forges an international alliance that will change the lives of people continents apart.",Joseph Litzinger,47,,Snow
10775,Tramwaj,"Short, Drama",6.4,"A boy shyly watches a girl on a tram. Only when he exits the tram, and its too late, does he realize that he must meet her.",Krzysztof Kieslowski,1182,,Snow
10776,Det kom en gäst...,Thriller,5.6,The owner of an old mansion has decided to sell it. The next morning he is found murdered. Writer George Essman must try to figure out who the killer is.,Arne Mattsson,251,,Snow
10777,Disaster on K2,Documentary,8.0,"This documentary program follows the climbers that reached the summit of K2 on August 2, 2008 and then the disaster that followed.",Robert Campos,50,,Snow
10778,Lost Planet²,"Action, Adventure, Sci-Fi",6.2,"It's been 10 years, and the snow on E.D.N. III has melted, revealing jungles and other tropical terrain. This time, players assume the roles of several different factions; fighting pirates, Akrid and other obstacles.",Kenji Oguro,299,,Snow
10779,Petticoat Fever,"Comedy, Romance",6.2,A lonesome wireless operator delays a couple who become stranded in Labrador.,George Fitzmaurice,499,,Snow
10780,Les tribulations d'une caissière,"Comedy, Romance",5.4,"A young woman, working as a cashier for a large retailer, writes anonymously about the working conditions that she and all the cashiers face everyday. Her blog becomes famous all over the country, some people want to know who she is.",Pierre Rambaldi,439,,Snow
10781,Red Hot Mamma,"Animation, Short",7.0,"Betty Boop, sleepless on a freezing night, builds a nice hot fire which proves too much of a good thing; in a dream she visits Hell, sings ""Hell's Bells, "" and makes Hell freeze over!",Dave Fleischer,290,,Snow
10782,Rudolph the Red-Nosed Reindeer 4D Attraction,"Animation, Short, Adventure",6.8,"When Rudolph is teased and runs away from Christmastown, he sets off on a series of adventures and meets new friends. When an epic snowstorm threatens Christmas, can he rescue his family and friends and help Santa save the holiday?",Chel White,21,,Snow
10783,Tante Pose,"Comedy, Family",6.5,"Under julefeiringen hos sorenskriver Bals blir det hemmelig forlovelse mellom to av hans vakre døtre og to studenter på julebesøk. Husdragen, tante Pose, spionerer på de unge. Tante Pose ...                See full summary »",Leif Sinding,400,,Snow
10784,Glory & Honor,"Biography, Drama",6.1,The true story about Robert Peary's forgotten African American employee Mathew Henson who proved crucial in their race to North Pole.,Kevin Hooks,119,,Snow
10785,Moving the Mountain,"Documentary, History",7.3,The film is a documentary about the demonstrations of students in Peking on the 4th of June 1989 for more democracy in the People's Republic which were ended by army forces. The story is told from students point of view.,Michael Apted,140,$0.04M,Snow
10786,Streif: One Hell of a Ride,"Documentary, History, News",6.6,"The 75-year history of the Hahnenkamm Race in Kitzbühel, Austria, one of the most famous and dangerous World Cup races in alpine skiing, is illustrated.",Gerald Salmina,626,,Snow
10787,Rafales,"Crime, Drama, Thriller",6.6,On Christmas eve a journalist witnesses a theft in a mall and then tracks one of the thieves to later be taken as his hostage in the radio station he works for.,André Melançon,149,,Snow
10788,Far til fire i sneen,"Comedy, Family",6.2,Dad of 4 wins a ski trip from a newspaper and the 5 travel to Norway with a press photographer and have fun.,Alice O'Fredericks,452,,Snow
10789,Treasure State,"Adventure, Comedy, Family",6.9,"In this family-friendly adventure, two teens must put their rivalry aside and join forces to stop notorious bandits and survive the brutal wilderness known as the Treasure State.",Andrew Wiest,143,,Snow
10790,Ulzhan,Drama,6.7,"Somewhere in the endless steppes of Central Asia lies a treasure. One man holds the key to it, a fragment of an ancient map. But in his restless quest, Charles isn't looking for fame or ...                See full summary »",Volker Schlöndorff,646,,Snow
10791,SSX: Deadly Descents,"Action, Sport",6.7,"Biker, Zoe Payne, snowboarder, Mac Fraser, and surfer, Tane Mumea, have founded Team SSX (Snowboarding, Surfing, and Motocross). Gathering a team of nine of the best riders in the world, ...                See full summary »",Mark Hildreth,104,,Snow
10792,Familienradgeber,"Comedy, Horror",4.1,Add a Plot,Martina Ittenbach,200,,Snow
10793,Few of Us,Drama,7.2,Silent Lithuanian film about a woman visiting a Fayre.,Sharunas Bartas,632,,Snow
10794,A Consoada,Drama,5.4,"A flight to Lisboa is diverted to Beja due to a snowstorm, forcing several passengers to spend Christmas Eve away from their families.",Francisco Antunez,31,,Snow
10795,Vinterkyss,"Drama, Mystery, Thriller",6.5,"After her son is hospitalized, a doctor cheats on her husband with a snow plow driver who is a suspect in her investigation of the recent death of a young Arab boy.",Sara Johnsen,798,,Snow
10796,Yong li ren zhe,"Action, Drama",5.4,Set during the 1920s in snow covered Manchuria. Kao-Ying sells information on the mining operation in Manchuria to the Japanese Intelligence Agency. He's rewarded with a large quantity of jewelery.,Godfrey Ho,71,,Snow
10797,Wild Italy,Documentary,7.1,From the snow covered Dolomites to the blue of the Mediterranean the landscape of Italy is already a favorite for many people.,,13,,Snow
10798,"Hope, the Movie","Short, Action, Adventure",,"A young nature photographer is off to her favorite location, Troodos snowy mountains with her four legged friend in order to capture some of the necessary shots for her project. Something unexpected comes along the way..",Andreas Kolokotronis,,,Snow
10799,Great Escape: The Untold Story,"Documentary, Drama, War",7.2,"The Stalag Luft III was a prison camp on Germany's border with Poland. It held 10,000 Allied airmen of all nationalities during the Second World War, and was escape proof. But for Allied ...                See full summary »",Steven Clarke,79,,Snow
10800,Die Alpen,Documentary,7.7,"The Alps, the so called ""Roof of Europe"", stand for wild mountains, extreme lives, but also a magical world. This majestic mountain range connects eight countries and reaches heights of up ...                See full summary »",Otto Clemens,23,,Snow
10801,The Short Story of a Fox and a Mouse,"Animation, Short, Family",6.3,A lonesome fox hunts a mouse and their relationship will evolve as two owls interfere with the hunt.,Camille Chaix,345,,Snow
10802,Zhyva vatra,Documentary,8.2,"The snow is starting to melt and spring has announced its arrival. Three Carpathian shepherds, just like their fathers and grandfathers before them, set off with their flock into the mountains on a lonely journey lasting several months.",Ostap Kostyuk,139,,Snow
10803,Winter am Alpenrand,Documentary,,"In southern Germany, winter can still be admired in all its glory every year. With its white coat of snow and icicles and myriads of small crystals that look like geometric works of art. In...                See full summary »",Jan Haft,,,Snow
10804,Zonen,"Drama, Mystery, Thriller",6.7,"The Military evacuates a zone in the Lapland mountains, under the pretext that there is an ongoing exercise. The district doctor gets suspicious when one of his patients, who lived inside ...                See full summary »",Jacob Nordenson,182,,Snow
